MutationType	DBS2	DBS4	DBS5	DBS6	DBS11
AC>CA	0.00037408	0.00414186	0.00213982	0.00266057	0.00136991
AC>CG	0.00003170	0.00004960	0.00046196	0.00014603	0.00019399
AC>CT	0.00012603	0.00000000	0.00201983	0.00024005	0.00075595
AC>GA	0.00023705	0.00440197	0.00055795	0.00858184	0.00044197
AC>GG	0.00000000	0.00000000	0.00000000	0.00010402	0.00224985
AC>GT	0.00028006	0.00000001	0.00082193	0.00013203	0.00570961
AC>TA	0.00148031	0.00127057	0.00147988	0.01010217	0.00026398
AC>TG	0.00000636	0.00005310	0.00111991	0.00044910	0.00023898
AC>TT	0.00292062	0.00016107	0.00746938	0.00318068	0.00281981
AT>CA	0.00003780	0.00091641	0.00010799	0.00011402	0.00947935
AT>CC	0.00000000	0.00000000	0.00002130	0.00006390	0.00189987
AT>CG	0.00000000	0.00000000	0.00000000	0.00000182	0.00001740
AT>GA	0.00016804	0.00032415	0.00110991	0.00162035	0.01119924
AT>GC	0.00000585	0.00001760	0.00000000	0.00001720	0.00417971
AT>TA	0.00045810	0.00453203	0.00079293	0.00220047	0.00383974
CC>AA	0.72415324	0.00000000	0.00000000	0.00000000	0.00000000
CC>AG	0.07261537	0.00543244	0.02429798	0.06161322	0.00097193
CC>AT	0.10002116	0.01570704	0.00242980	0.00043809	0.03449765
CC>GA	0.01770375	0.00355159	0.00006760	0.03550762	0.00095294
CC>GG	0.00045010	0.00007300	0.00001190	0.01810389	0.00344977
CC>GT	0.00110023	0.00007990	0.00002480	0.00344074	0.06949526
CC>TA	0.01600339	0.00017008	0.00126989	0.00222048	0.05879599
CC>TG	0.00023705	0.00000830	0.00480960	0.00687147	0.03229780
CC>TT	0.00000000	0.00000000	0.00000000	0.00000000	0.33197737
CG>AT	0.00115024	0.00029013	0.00163986	0.00754162	0.00181988
CG>GC	0.00036908	0.00000510	0.00009920	0.00059013	0.00016599
CG>GT	0.00128027	0.00000000	0.00647946	0.00322069	0.00117992
CG>TA	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
CG>TC	0.00215045	0.00000000	0.00002980	0.00891191	0.00068495
CG>TT	0.00556118	0.00036116	0.00221981	0.01870401	0.00069895
CT>AA	0.00321068	0.00000000	0.46596124	0.00448096	0.00439970
CT>AC	0.00000000	0.00000000	0.20898262	0.00195042	0.00234984
CT>AG	0.00058712	0.00036316	0.02669778	0.03950848	0.00049597
CT>GA	0.00001810	0.00067330	0.01609866	0.00734158	0.01159921
CT>GC	0.00013403	0.00007220	0.00484960	0.00179038	0.00610958
CT>GG	0.00008980	0.00092641	0.00056995	0.00681146	0.00401973
CT>TA	0.00338071	0.00000000	0.00333972	0.00008840	0.04169716
CT>TC	0.00003840	0.00000000	0.00023698	0.00000000	0.00298980
CT>TG	0.00039008	0.00003080	0.00087393	0.01120240	0.00147990
GC>AA	0.00508108	0.32814716	0.00013299	0.00000000	0.00099993
GC>AG	0.00032507	0.01130507	0.00265978	0.00366079	0.00328978
GC>AT	0.00095320	0.00924415	0.00156987	0.00188040	0.02719815
GC>CA	0.00106022	0.01190534	0.00457962	0.00869187	0.00210986
GC>CG	0.00006690	0.00000098	0.00032297	0.00000000	0.00403973
GC>TA	0.00073616	0.01770794	0.00022198	0.00082918	0.00024298
TA>AT	0.00275058	0.03041364	0.00186984	0.00857184	0.00222985
TA>CG	0.00001890	0.00038918	0.00000789	0.00025906	0.00058396
TA>CT	0.00028006	0.00872391	0.00226981	0.02610560	0.00337977
TA>GC	0.00008220	0.00007020	0.00005220	0.00026406	0.00101993
TA>GG	0.00007890	0.00222100	0.00162986	0.00021805	0.00037497
TA>GT	0.00130028	0.00806362	0.00190984	0.00006250	0.00266982
TC>AA	0.00145031	0.37917005	0.04039664	0.04580983	0.00021698
TC>AG	0.00020004	0.00187084	0.01489876	0.00828178	0.04739677
TC>AT	0.00000000	0.00841377	0.00074794	0.00059413	0.08459423
TC>CA	0.00068214	0.08463796	0.00142988	0.01180253	0.00028198
TC>CG	0.00000389	0.00040018	0.00000000	0.00086219	0.00323978
TC>CT	0.00335071	0.00000828	0.00104991	0.00939202	0.02009863
TC>GA	0.00088519	0.03641633	0.00002460	0.00734158	0.00023498
TC>GG	0.00000987	0.00001040	0.00003480	0.00151032	0.00732950
TC>GT	0.00008570	0.00000000	0.00003860	0.00000000	0.01519896
TG>AA	0.00296063	0.00763342	0.01799850	0.02550547	0.00782947
TG>AC	0.00022005	0.00011805	0.00145988	0.01010217	0.00086594
TG>AT	0.00429091	0.00000000	0.02039830	0.22104743	0.01049928
TG>CA	0.00014403	0.00080436	0.00047596	0.01140245	0.05609617
TG>CC	0.00005940	0.00012005	0.00050596	0.00789169	0.00312979
TG>CT	0.00307065	0.00008210	0.00032797	0.27505902	0.00557962
TG>GA	0.00147031	0.00785352	0.00326973	0.00744160	0.00730950
TG>GC	0.00027206	0.00060427	0.00029198	0.00560120	0.00611958
TG>GT	0.00640136	0.00003230	0.08269312	0.02740588	0.00523964
TT>AA	0.00431091	0.00001800	0.00491959	0.00019304	0.00476968
TT>AC	0.00034507	0.00000066	0.00096592	0.00012803	0.00103993
TT>AG	0.00021505	0.00000000	0.00089293	0.00212045	0.00126991
TT>CA	0.00000000	0.00000000	0.00000000	0.00000000	0.00201986
TT>CC	0.00000298	0.00000000	0.00077294	0.00000000	0.00399973
TT>CG	0.00001520	0.00000000	0.00000000	0.00001120	0.00000000
TT>GA	0.00004790	0.00000000	0.00002990	0.00000000	0.00070695
TT>GC	0.00000154	0.00000000	0.00005660	0.00000041	0.00000578
TT>GG	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
